train/std,time/total_timesteps,train/n_updates,train/policy_loss,train/entropy_loss,time/iterations,train/explained_variance,train/value_loss,time/time_elapsed,train/reward,time/fps,train/learning_rate
1.0095676183700562,21000,4199,-172.5681915283203,-41.396392822265625,4200,-0.011656403541564941,21.041799545288086,151,1.6883837,138,0.0007
1.0077950954437256,21500,4299,-120.81654357910156,-41.3470344543457,4300,0.0,10.835470199584961,154,3.463552,138,0.0007
1.0074491500854492,22000,4399,-47.88414764404297,-41.33489227294922,4400,0.0,14.745506286621094,158,2.7615626,138,0.0007
1.0090930461883545,22500,4499,501.7577209472656,-41.3851318359375,4500,0.0,154.00607299804688,162,-0.4200234,138,0.0007
1.0096336603164673,23000,4599,418.68994140625,-41.39838409423828,4600,0.0,124.37641906738281,165,1.7000047,138,0.0007
1.0118858814239502,23500,4699,-174.86219787597656,-41.463951110839844,4700,-1.1920928955078125e-07,23.93651580810547,169,-0.007350991,138,0.0007
1.0128675699234009,24000,4799,-196.1532440185547,-41.492164611816406,4800,0.0,27.622812271118164,173,-1.346916,138,0.0007
1.012364149093628,24500,4899,-96.11894226074219,-41.47544860839844,4900,0.0,8.670215606689453,176,1.0899814,138,0.0007
1.013576626777649,25000,4999,-4.257198333740234,-41.50490951538086,5000,0.0,2.6323158740997314,179,-2.599435,138,0.0007
1.0126594305038452,25500,5099,174.89100646972656,-41.48466110229492,5100,-1.1920928955078125e-07,32.697975158691406,183,2.0202649,139,0.0007
1.0133726596832275,26000,5199,-231.1825714111328,-41.496910095214844,5200,-1.1920928955078125e-07,64.60650634765625,187,9.368592,138,0.0007
1.0129674673080444,26500,5299,-13.747320175170898,-41.48677444458008,5300,-1.1920928955078125e-07,0.4302472174167633,191,-0.20087609,138,0.0007
1.0133607387542725,27000,5399,-112.77052307128906,-41.50044250488281,5400,0.3255000710487366,8.170352935791016,194,0.5607609,138,0.0007
1.013675332069397,27500,5499,-15.245572090148926,-41.507598876953125,5500,0.06291186809539795,12.121253967285156,198,2.6324496,138,0.0007
1.0151686668395996,28000,5599,-104.238037109375,-41.539764404296875,5600,5.960464477539063e-08,10.304643630981445,202,1.3819326,138,0.0007
1.0159285068511963,28500,5699,-171.24234008789062,-41.559547424316406,5700,-1.1920928955078125e-07,26.575531005859375,205,-3.2516441,138,0.0007
1.0148532390594482,29000,5799,-33.54491424560547,-41.534645080566406,5800,0.0,2.525031566619873,209,1.4628773,138,0.0007
1.014929175376892,29500,5899,15.703153610229492,-41.53136444091797,5900,-1.1920928955078125e-07,0.5794245600700378,212,0.09873241,138,0.0007
1.0177123546600342,30000,5999,113.10096740722656,-41.6146240234375,6000,0.0,11.078139305114746,216,-0.56228536,138,0.0007
1.0200339555740356,30500,6099,-83.90447235107422,-41.678436279296875,6100,0.0,7.323235511779785,219,-3.9552689,138,0.0007
1.019177794456482,31000,6199,-109.9167709350586,-41.64729309082031,6200,0.0,7.575730323791504,223,-0.8072115,138,0.0007
1.0190129280090332,31500,6299,-421.34234619140625,-41.642547607421875,6300,0.0,177.30645751953125,226,3.1271076,138,0.0007
1.0197184085845947,32000,6399,42.12468719482422,-41.66088104248047,6400,0.0,1.376110315322876,231,1.2439903,138,0.0007
1.0200865268707275,32500,6499,15.788722038269043,-41.66565704345703,6500,-1.1920928955078125e-07,2.5789854526519775,235,-2.5485837,138,0.0007
1.020465612411499,33000,6599,-31.908451080322266,-41.68121337890625,6600,0.0,4.015668869018555,238,-1.1908288,138,0.0007
1.0212186574935913,33500,6699,-877.96630859375,-41.697418212890625,6700,-0.003245115280151367,607.8753662109375,242,-8.286806,138,0.0007
1.0207635164260864,34000,6799,-184.61146545410156,-41.68658447265625,6800,0.0,27.208765029907227,245,-0.62114006,138,0.0007
1.020058512687683,34500,6899,-411.8226013183594,-41.65692138671875,6900,0.0,166.77194213867188,249,7.312576,138,0.0007
1.0203773975372314,35000,6999,48.00741958618164,-41.665618896484375,7000,0.06530201435089111,1.6894601583480835,252,-0.03438332,138,0.0007
1.0191692113876343,35500,7099,48.924537658691406,-41.63758087158203,7100,-1.1920928955078125e-07,2.4701201915740967,256,1.810205,138,0.0007
1.0206218957901,36000,7199,-358.2239074707031,-41.665401458740234,7200,-0.016045808792114258,104.3885269165039,260,1.3759981,138,0.0007
1.0205966234207153,36500,7299,-174.57081604003906,-41.67259979248047,7300,-1.1920928955078125e-07,43.937889099121094,263,1.3604743,138,0.0007
1.0201083421707153,37000,7399,154.18650817871094,-41.665985107421875,7400,0.0,26.2427978515625,267,-5.345063,138,0.0007
1.0209624767303467,37500,7499,656.7874755859375,-41.6856803894043,7500,0.0,291.6453857421875,270,-20.922937,138,0.0007
1.0200858116149902,38000,7599,-115.86458587646484,-41.666107177734375,7600,0.00048291683197021484,6.897894859313965,273,1.7698865,138,0.0007
1.0188229084014893,38500,7699,-57.483489990234375,-41.62787628173828,7700,1.1920928955078125e-07,2.521270275115967,277,0.94595593,138,0.0007
1.0207639932632446,39000,7799,-39.014556884765625,-41.68007278442383,7800,1.1920928955078125e-07,2.658785581588745,280,-0.783661,138,0.0007
1.020824670791626,39500,7899,225.81192016601562,-41.69106674194336,7900,0.0,63.83196258544922,284,4.3967586,138,0.0007
1.0205154418945312,40000,7999,-264.7238464355469,-41.675907135009766,8000,0.0,52.77968215942383,287,-5.4312043,138,0.0007
1.0188689231872559,40500,8099,656.40234375,-41.624534606933594,8100,0.0,316.36175537109375,291,23.577135,138,0.0007
1.0197662115097046,41000,8199,-12.434200286865234,-41.643245697021484,8200,0.0,0.29956963658332825,294,0.043263912,138,0.0007
1.0199486017227173,41500,8299,50.293968200683594,-41.65388488769531,8300,-1.1920928955078125e-07,2.633803129196167,298,-1.3479339,139,0.0007
1.0216130018234253,42000,8399,-167.81100463867188,-41.70296859741211,8400,-1.1920928955078125e-07,14.494596481323242,301,-1.23478,139,0.0007
1.0212750434875488,42500,8499,-28.73655128479004,-41.69916534423828,8500,1.1920928955078125e-07,1.4488499164581299,305,0.55197674,139,0.0007
1.0214282274246216,43000,8599,190.16477966308594,-41.69255447387695,8600,0.0,75.64678192138672,308,-25.86827,139,0.0007
